,model_a_strength,model_b_divergence,model_c_cointegration
2024-07-09,0.0001932470575542103,0.0013115888198498033,0.0011380946248850028
2024-07-10,0.0005031057586526808,-0.00015867677206025935,0.00034442898659242145
2024-07-11,0.00028083685350987163,-4.5043449190991764e-05,5.017246130402609e-05
2024-07-12,-0.0010565324130022776,0.0009885704404258803,0.0005190671253628306
2024-07-15,-8.750863015196482e-05,0.0013449841895755838,0.0024087343519010695
2024-07-16,8.419426501771471e-06,-6.5459600941466e-05,-0.0015407412825322248
2024-07-17,0.0001834619995914146,0.000277615829719123,0.000384190526569101
2024-07-18,0.0,0.0,0.0
2024-07-19,0.0,0.001274736909147067,0.00029589170595781554
2024-07-22,-0.0003357034900704702,-0.0011916783987859746,-5.589525379589315e-05
2024-07-23,-6.879542378182172e-05,-0.0003699548512219798,6.190354898389223e-05
2024-07-24,-7.177950105569065e-06,-0.00011017017404049592,-6.929296794424808e-05
2024-07-25,2.7051214466333807e-05,7.945888400321449e-05,-0.0005429563150932529
2024-07-26,0.0,-0.001259967135158659,-0.0001614337374678901
2024-07-29,0.0014033281695132844,0.000486854879422538,0.0017608497361575898
2024-07-30,-0.001284839090628831,-0.0006638827429675776,-0.0008635169918636814
2024-07-31,0.00035629184128670215,0.000297468807706292,0.00030251955597161413
2024-08-01,0.0016407732266061027,-0.002606162920561703,0.001441239503287011
2024-08-02,0.00032147998248818115,0.0014664334654802018,-0.0013540204915537936
2024-08-05,-0.001919101042925095,0.0003630725483072725,-0.002049258514751247
2024-08-06,0.0008372891622715254,-0.0018064702713704141,0.0034028660755752063
2024-08-07,-0.0006238281070172401,0.00048801564552620634,0.000983283789406604
2024-08-08,0.001036273563138678,-0.002012152454203938,0.0
2024-08-09,-0.004914834214809509,-0.0020314087905133984,-0.005668347811482224
2024-08-12,0.0028164280819679074,0.0,0.00226100576678593
2024-08-13,0.003296450846772758,0.0,0.004932044151884384
2024-08-14,0.0038832631973077457,8.298991291642997e-05,0.0038534230656784092
2024-08-15,0.003078834940853331,0.0,0.002870493770120104
2024-08-16,0.0027502483629404345,-0.001083803347703759,0.009738571693713798
2024-08-19,-5.218849028660786e-05,0.0004905343339978204,0.004925590997244839
2024-08-20,-0.0030446256278239482,-0.0035033221462884775,-0.00327328511716167
2024-08-21,-0.000476411133737287,-1.1186798110606508e-05,-0.00035524861185522367
2024-08-22,0.0,-3.027785792925812e-05,0.0
2024-08-23,0.000949027766649868,0.0,0.00410297491986878
2024-08-26,-0.000699255071189098,0.0008067626256161111,0.0040819199328722185
2024-08-27,0.00019798736656848883,0.0009042666362515791,0.0005628049319913108
2024-08-28,0.0,6.479486090049384e-05,5.439367305385363e-05
2024-08-29,0.00027537546541227655,0.0,0.0
2024-08-30,0.0008813857756277359,-0.0002285691510073817,0.0018855139903474008
2024-09-02,0.00010550862873053523,-0.0005539336945496091,0.00037916729707951043
2024-09-03,0.0,9.225861966484987e-05,0.0005543042441663569
2024-09-04,0.0,0.0009166957729280889,0.0
2024-09-05,9.518691444836865e-06,0.00028482450778445124,0.0
2024-09-06,0.00036554427970286795,0.000630369784587888,0.0
2024-09-09,-0.00028321854178640124,-0.0008066891454402363,-2.9128935493217718e-05
2024-09-10,-0.00033781103405614813,8.385111992596854e-05,0.0
2024-09-11,0.0002776532985445726,-0.00020045188628488455,0.0
2024-09-12,0.0,0.0,0.0
2024-09-13,0.0007750553101584707,0.000274139223871553,0.0
2024-09-16,0.000593990111409654,0.00035022721200686426,0.001073009700918846
2024-09-17,-0.0016586872904042105,-3.819618699837273e-05,-0.0012214412644479817
2024-09-18,0.001284517151799217,0.0009639195381677638,0.00015939289255900615
2024-09-19,0.0011082695029748888,0.00011706137811730884,0.0
2024-09-20,-0.00149449720983113,3.0835509057324355e-05,-0.0008926763021904782
2024-09-23,-0.0003420416553114843,-0.0015163565730294912,0.0
2024-09-24,5.6709783167469165e-05,-0.00028608585559860086,0.0016718341073387077
2024-09-25,-0.0002795126904358012,0.0,-0.0002904044709322076
2024-09-26,0.00014066236518941647,0.0018982798035577662,0.002778757440841932
2024-09-27,0.004971686363999353,0.004506907033174046,0.00652409149152869
2024-09-30,-0.002344758881866075,-0.0010376629595252225,0.0033192733558193624
2024-10-01,0.0018202554074954861,0.0,0.0001524512133735208
2024-10-02,-0.0006646383607101115,-0.00017789147016309908,0.0
2024-10-03,0.00027155745153669927,-0.0016187437286515974,-7.394988986116654e-05
2024-10-04,0.0,-0.0007292268991021763,0.0
2024-10-07,-0.00047298706503851387,0.0010854091841575588,-0.007804281089062458
2024-10-08,0.0009306308514046887,0.0022411804058638015,0.006898599078344484
2024-10-09,0.0005282862572324943,-0.0004618186034423942,0.0005494056912685474
2024-10-10,-1.3818057889642748e-05,0.0043412163004775345,0.0
2024-10-11,0.0,0.0004169490968856809,0.0
2024-10-14,-8.792401616179686e-05,-7.022294195131452e-05,0.0
2024-10-15,0.0,4.367360559580741e-05,1.972674353305593e-05
2024-10-16,-0.001775807194193008,0.0,0.0
2024-10-17,-0.00016029019163975395,-0.00013510994096605647,0.0
2024-10-18,0.001071833878358113,0.0013210471039342413,-6.85796055015432e-05
2024-10-21,-4.925987259634624e-05,0.00010613097128710623,2.405149620490061e-06
2024-10-22,0.0,0.0003781936915215138,0.0
2024-10-23,-0.00021386585179492828,0.0,0.0
2024-10-24,2.4469602125952538e-05,0.0,0.0
2024-10-25,0.00032847007161443636,-8.26727270838871e-06,0.0
2024-10-28,-2.33307318199665e-05,0.0,0.0
2024-10-29,0.0016182600641141836,0.0,0.0006462715099646086
2024-10-30,0.0007655711888658229,-0.0004734955250970452,0.00036074880293929555
2024-10-31,0.0010789229656172788,9.911136346578383e-05,0.0
2024-11-01,-0.00013335153185064678,-0.0027445983845391167,0.0002448215873789305
2024-11-04,0.0019295322169374856,0.001690729598917748,0.0009609937730640732
2024-11-05,0.0008039367809182937,0.0012788281631316725,-2.4436427841770673e-05
2024-11-06,0.00455478468300659,0.0017565367315508793,0.0028211225908181827
2024-11-07,-0.0014113711565909557,-0.0027930664443085495,0.005025468087168279
2024-11-08,0.0014484662098410075,0.008763145070037927,0.005038263317415918
2024-11-11,0.008484129047316264,0.006974460925166381,0.004978611834547149
2024-11-12,0.000769356565331263,-0.000861338601308435,-0.0029991188611208953
2024-11-13,0.00015164524658177779,-0.00040555447110774025,0.0001471201503595632
2024-11-14,0.00034027891415686496,0.0,-6.5601682564678895e-06
2024-11-15,-0.000850002762870469,0.00010011577856953527,0.0
2024-11-18,-0.00010221827295681698,0.00038529314404827714,0.0006752450222534569
2024-11-19,9.603341883134675e-05,-0.0005743134585739443,-0.00010385662690543524
2024-11-20,0.00020886202271959151,8.781195344204187e-05,0.0
2024-11-21,6.051890140061026e-05,0.0007772069912803404,0.0017203425073876763
2024-11-22,0.0,-0.00035486224020858025,-0.00022460647893181388
2024-11-25,1.9800574565665286e-05,6.348301385415498e-05,0.0
2024-11-26,0.000191334606794319,0.0,0.0
2024-11-27,0.0005887852212303635,0.00026236445347177604,0.003022695625311483
2024-11-28,1.870223115886317e-06,0.0,-0.0005456729771171675
2024-11-29,-0.000124170770303897,0.0001841685915528829,-7.134163065136995e-05
2024-12-02,-0.00014663190709257563,-0.00031373162244798853,6.7522611228363094e-06
2024-12-03,0.0009165807653806697,0.00029905489817662757,0.0
2024-12-04,0.0006281565668874887,-0.0002859744878908678,0.001395763953771943
2024-12-05,-0.0011586543893912463,-0.0010687608543066493,-0.0021471105706217467
2024-12-06,0.0003351693501502774,0.00015247249327963574,0.0004708626879661587
2024-12-09,0.004554705566880467,0.0034061156395334617,0.0
2024-12-10,-0.0010735646040791267,-0.00012136426468033163,0.0
2024-12-11,-0.0007068485242649185,0.00021052681557077535,0.00021052681557077535
2024-12-12,-0.00011088194685500152,0.0013426816499184035,0.0014309420979636
2024-12-13,-0.00047710435759341035,-6.672585819474356e-05,-1.0545599603080708e-05
2024-12-16,-0.0016605843508566414,-2.140756182849587e-05,0.0
2024-12-17,0.0018320591531129483,0.000117300762072496,0.000117300762072496
2024-12-18,-0.0009949833993133535,0.00010481733599485536,0.0001527601279493882
2024-12-19,0.0002443629756608255,0.0,0.0
2024-12-20,-0.00034070149259677587,0.0005062239685460561,0.002607561730512499
2024-12-23,0.005560494947576397,0.002391407866140191,0.0003433826044985217
2024-12-24,0.0012655950683996098,0.00023761670658578994,0.0
2024-12-25,0.0007261381647845239,0.00014637330738770903,0.0
2024-12-26,-0.00040666053714905867,0.0036162030430648257,0.0
2024-12-27,-0.0001799479512691024,1.8074969971035197e-05,-5.451419287611937e-05
2024-12-30,0.00036907492941999425,-0.00016781415241331647,0.0
2024-12-31,0.0005480663644434555,0.0002530226405102144,0.0007900810189773866
2025-01-02,0.00017330603904143555,0.0008142456540290235,0.00013055060136094558
2025-01-03,0.0,0.0,0.0
2025-01-06,-0.0003339809958975965,-0.0006801741296366804,-3.0344513933199884e-05
2025-01-07,0.0006287191972169644,-0.0017308489033693653,0.00034099625357805047
2025-01-08,-0.0005133669679280001,-0.0019755577990403523,-0.00101252810303719
2025-01-09,0.0001483159919653742,0.0016900838879217131,0.0005954427637280438
2025-01-10,-0.00016552096734020322,0.0010252141122677934,0.002763401199437489
2025-01-13,0.0016893217563507443,0.0,0.00552142477754263
2025-01-14,0.001248498536352493,0.005869251999145258,0.0008085405425526518
